1,lb=,450,grams,500,ppm=,1,mS,,
Dry measurements in grams,,,,,,,,,
100 gallon nutrient bath,- amount held by dispenser,,,,,,,,
100 gallon nutrient bath,Chem Gro Lettuce,Chem-Gro Tomato,Calcium Nitrate,Magnesium Sulfate,pH,Conductivity,Source (nutrients),Source (pH and EC),Secondary pH and EC Source
Leafy Plants - Seedlings,225,0,168.75,112.5,5.8,2,https://hydro-gardens.com/product/lettuce-formula-5lbs-box-8-15-36x5/,http://www.howardresh.com/Hydroponic-Lettuce-Production1.html,
Leafy Plants - Mature,225,0,225,139.5,5.8,2.5,https://hydro-gardens.com/product/lettuce-formula-5lbs-box-8-15-36x5/,http://www.howardresh.com/Hydroponic-Lettuce-Production1.html,https://hydro-gardens.com/product/lettuce-formula-5lbs-box-8-15-36x5/
Tomatoes - Seedlings,0,225,112.5,112.5,6.5,2.4,https://hydro-gardens.com/product/tomato-formula-5lbs-box-4-18-38x5/,http://www.howardresh.com/Hydroponic-Culture-of-tomatoes.html,
Tomatoes - 1-4Flwr clusters,0,225,225,112.5,6.3,3,https://hydro-gardens.com/product/tomato-formula-5lbs-box-4-18-38x5/,https://hydro-gardens.com/product/tomato-formula-5lbs-box-4-18-38x5/,http://www.howardresh.com/Hydroponic-Culture-of-tomatoes.html
"Tomatoes - older, NOT HEIRLOOM",0,225,225,148.5,6.3,3,https://hydro-gardens.com/product/tomato-formula-5lbs-box-4-18-38x5/,,
Cucumber - Seedlings,225,0,168.75,112.5,5.7,2.2,https://hydro-gardens.com/product/cucumber-formula-5lbs-box-8-16-36x5/,http://www.howardresh.com/Culture-of-cucumbers.html,
Cucumber - Mature,225,0,225,139.5,5.7,2.5,https://hydro-gardens.com/product/cucumber-formula-5lbs-box-8-16-36x5/,http://www.howardresh.com/Culture-of-cucumbers.html,
,,,,,,,,,
scale,,,,,,,,,
3,gallons,- currently using 3 gallon containers. This is the amount to dispense,,,, ,,,
,,,,,,,,,
,Chem-Gro Lettuce ,Chem-gro Tomato,Calcium Nitrate,Magnesium Sulfate,,,,,
Leafy Plants - Seedlings,6.75,0,5.0625,3.375,,,,,
Leafy Plants - Mature,6.75,0,6.75,4.185,,,,,
Tomatoes - Seedlings,0,6.75,3.375,3.375,,,,,
Tomatoes - 1-4Flwr clusters,0,6.75,6.75,3.375,,,,,
"Tomatoes - older, NOT HEIRLOOM",0,6.75,6.75,4.455,,,,,
Cucumber - Seedlings,6.75,0,5.0625,3.375,,,,,
Cucumber - Mature,6.75,0,6.75,4.185,,,,,
IN OUNCES,1,oz =,0.035274,g,,,,,
100 gallon nutrient bath,Chem Gro Lettuce,Chem-Gro Tomato,Calcium Nitrate,Magnesium Sulfate,,,,,
Leafy Plants - Seedlings,7.93665,0,5.9524875,3.968325,,,,,
Leafy Plants - Mature,7.93665,0,7.93665,4.920723,,,,,
Tomatoes - Seedlings,0,7.93665,3.968325,3.968325,,,,,
Tomatoes - 1-4Flwr clusters,0,7.93665,7.93665,3.968325,,,,,
"Tomatoes - older, NOT HEIRLOOM",0,7.93665,7.93665,5.238189,,,,,
Cucumber - Seedlings,7.93665,0,5.9524875,3.968325,,,,,
Cucumber - Mature,7.93665,0,7.93665,4.920723,,,,,
,,, , ,,,,,